postalcode,FIPS,date,time,Total Stations,Has Fuel:Has Power,Has Fuel:No Power,No Fuel:Has Power,No Power:No Fuel,PercentageOperational,raw_visit_counts
70001,22051,10/1/21,14:12,19,18,0,0,1,94.74,1337
70001,22051,10/1/21,22:12,19,18,0,0,1,94.74,1337
70001,22051,10/2/21,6:12,19,18,0,0,1,94.74,1337
70001,22051,10/2/21,14:12,19,18,0,0,1,94.74,1337
70001,22051,10/2/21,22:12,19,18,0,0,1,94.74,1337
70001,22051,10/3/21,6:12,19,19,0,0,0,100,1337
70001,22051,10/3/21,14:12,19,19,0,0,0,100,1337
70001,22051,10/3/21,22:12,19,19,0,0,0,100,1337
70001,22051,10/4/21,6:12,19,19,0,0,0,100,1337
70001,22051,10/4/21,14:12,19,19,0,0,0,100,1337
70001,22051,10/4/21,22:12,19,19,0,0,0,100,1337
70001,22051,10/5/21,6:12,19,19,0,0,0,100,1337
70001,22051,10/5/21,14:12,19,19,0,0,0,100,1337
70001,22051,10/5/21,22:12,19,19,0,0,0,100,1337
70001,22051,10/6/21,6:12,19,19,0,0,0,100,1337
70001,22051,10/6/21,14:12,19,19,0,0,0,100,1337
70002,22051,8/27/21,22:13,10,10,0,0,0,100,534
70002,22051,8/28/21,6:12,10,10,0,0,0,100,534
70002,22051,8/28/21,14:12,10,10,0,0,0,100,534
70002,22051,8/28/21,22:12,10,10,0,0,0,100,534
70002,22051,8/29/21,6:12,10,10,0,0,0,100,534
70002,22051,8/29/21,14:12,10,10,0,0,0,100,534
70002,22051,8/29/21,22:12,10,10,0,0,0,100,534
70002,22051,8/30/21,6:12,10,10,0,0,0,100,534
70002,22051,8/30/21,14:12,10,10,0,0,0,100,534
70002,22051,8/30/21,22:13,10,10,0,0,0,100,534
70002,22051,8/31/21,6:12,10,10,0,0,0,100,534
70002,22051,8/31/21,14:12,10,10,0,0,0,100,534
70002,22051,8/31/21,22:12,10,9,0,1,0,90,534
70002,22051,9/1/21,6:12,10,2,1,1,6,20,534
70002,22051,9/1/21,14:12,10,1,2,1,6,10,534
70002,22051,9/1/21,22:12,10,2,0,2,6,20,534
70002,22051,9/2/21,6:12,10,2,0,2,6,20,534
70002,22051,9/2/21,14:12,10,2,0,2,6,20,534
70002,22051,9/2/21,22:12,10,2,0,2,6,20,534
70002,22051,9/3/21,6:12,10,3,0,2,5,30,534
70002,22051,9/3/21,14:12,10,3,0,2,5,30,534
70002,22051,9/3/21,22:12,10,1,1,3,5,10,534
70002,22051,9/4/21,6:12,10,1,0,3,6,10,534
70002,22051,9/4/21,14:12,10,2,0,2,6,20,534
70002,22051,9/4/21,22:12,10,3,0,2,5,30,534
70002,22051,9/5/21,6:12,10,3,0,2,5,30,534
70002,22051,9/5/21,14:12,10,3,0,2,5,30,534
70002,22051,9/5/21,22:12,10,3,0,2,5,30,534
70002,22051,9/6/21,6:12,10,3,0,3,4,30,534
70002,22051,9/6/21,14:12,10,3,0,3,4,30,534
70002,22051,9/6/21,22:12,10,3,0,2,5,30,534
70002,22051,9/7/21,6:12,10,4,0,1,5,40,534
70002,22051,9/7/21,14:12,10,4,0,1,5,40,534
70002,22051,9/7/21,22:12,10,4,0,1,5,40,534
70002,22051,9/8/21,6:12,10,4,0,1,5,40,534
70002,22051,9/8/21,14:12,10,5,0,1,4,50,534
70002,22051,9/8/21,22:12,10,5,0,1,4,50,534
70002,22051,9/9/21,6:12,10,5,0,1,4,50,534
70002,22051,9/9/21,14:12,10,5,0,1,4,50,534
70002,22051,9/9/21,22:12,10,5,0,1,4,50,534
70002,22051,9/10/21,6:12,10,5,0,1,4,50,534
70002,22051,9/10/21,14:12,10,6,0,0,4,60,534
70002,22051,9/10/21,22:12,10,6,0,0,4,60,534
70002,22051,9/11/21,6:12,10,6,0,0,4,60,534
70002,22051,9/11/21,14:12,10,6,0,0,4,60,534
70002,22051,9/11/21,22:12,10,6,1,0,3,60,534
70002,22051,9/12/21,6:12,10,6,1,0,3,60,534
70002,22051,9/12/21,14:12,10,6,1,0,3,60,534
70002,22051,9/12/21,22:12,10,6,1,0,3,60,534
70002,22051,9/13/21,6:12,10,6,1,0,3,60,534
70002,22051,9/13/21,14:12,10,6,1,0,3,60,534
70002,22051,9/13/21,22:12,10,7,1,0,2,70,534
70002,22051,9/14/21,6:12,10,8,0,0,2,80,534
70002,22051,9/14/21,14:12,10,8,0,0,2,80,534
70002,22051,9/14/21,22:12,10,8,0,0,2,80,534
70002,22051,9/15/21,6:12,10,8,0,0,2,80,534
70002,22051,9/15/21,14:12,10,8,0,0,2,80,534
70002,22051,9/15/21,22:12,10,8,0,0,2,80,534
70002,22051,9/16/21,6:12,10,8,0,0,2,80,534
70002,22051,9/16/21,14:12,10,8,0,0,2,80,534
70002,22051,9/16/21,22:12,10,7,0,1,2,70,534
70002,22051,9/17/21,6:12,10,8,0,0,2,80,534
70002,22051,9/17/21,14:12,10,8,0,0,2,80,534
70002,22051,9/17/21,22:12,10,8,0,0,2,80,534
70002,22051,9/18/21,6:12,10,8,0,0,2,80,534
70002,22051,9/18/21,14:12,10,8,0,0,2,80,534
70002,22051,9/18/21,22:12,10,8,0,0,2,80,534
70002,22051,9/19/21,6:12,10,8,0,0,2,80,534
70002,22051,9/19/21,14:12,10,8,0,0,2,80,534
70002,22051,9/19/21,22:12,10,8,0,0,2,80,534
70002,22051,9/20/21,6:12,10,8,0,0,2,80,534
70002,22051,9/20/21,14:12,10,8,0,0,2,80,534
70002,22051,9/20/21,22:13,10,8,0,0,2,80,534
70002,22051,9/21/21,6:12,10,8,0,0,2,80,534
70002,22051,9/21/21,14:23,10,8,0,0,2,80,534
70002,22051,9/21/21,22:12,10,8,0,0,2,80,534
70002,22051,9/22/21,6:12,10,8,0,0,2,80,534
70002,22051,9/22/21,14:12,10,8,0,0,2,80,534
70002,22051,9/22/21,22:12,10,10,0,0,0,100,534
70002,22051,9/23/21,6:13,10,10,0,0,0,100,534
70002,22051,9/23/21,14:12,10,10,0,0,0,100,534
